epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,126.875,0.42212,1.02133,0.53947,0.34542,0.9738,1,0.99871,0.995,0.90442,0.94588,0.94476,0.94006,0.85706,0.4605,1.03362,0.55441,0.33395,1.00031,0.0008516,0.0008516,0.0008516
60,128.901,0.45162,1.37292,0.52377,0.36442,0.99906,1,0.99857,0.995,0.8863,0.94223,0.91892,0.9105,0.85104,0.50701,1.10613,0.55658,0.3882,1.05169,0.0008318,0.0008318,0.0008318
61,130.919,0.45077,1.00325,0.48425,0.37643,1.00022,1,0.9979,0.995,0.8948,0.94254,0.91892,0.90365,0.83495,0.5106,1.16136,0.53778,0.39605,1.04658,0.000812,0.000812,0.000812
62,132.98,0.4267,0.92056,0.49388,0.36786,0.98337,0.9977,0.97297,0.99447,0.90442,0.94221,0.91892,0.93529,0.82746,0.42335,1.04604,0.50588,0.35194,0.98066,0.0007922,0.0007922,0.0007922
63,135.03,0.40566,1.04561,0.49302,0.34518,0.97066,0.9976,0.97297,0.99447,0.92214,0.94212,0.91892,0.9323,0.80762,0.42212,1.01072,0.48353,0.35988,0.96697,0.0007724,0.0007724,0.0007724
64,137.083,0.43454,1.07545,0.52877,0.38191,0.97792,1,0.99804,0.995,0.90222,0.94218,0.91892,0.89903,0.85284,0.42473,0.84215,0.45988,0.3257,0.94942,0.0007526,0.0007526,0.0007526
65,139.083,0.45528,0.97739,0.52927,0.36665,1.00496,0.99916,1,0.995,0.92014,0.94497,0.94595,0.93953,0.88392,0.40202,0.76679,0.4584,0.29898,0.94327,0.0007328,0.0007328,0.0007328
66,141.148,0.43702,0.91142,0.51833,0.34569,0.97328,0.99785,1,0.995,0.92452,0.94346,0.94595,0.94779,0.89274,0.40713,0.85426,0.4708,0.3059,0.96008,0.000713,0.000713,0.000713
67,143.13,0.42109,0.75407,0.4887,0.40678,0.98032,1,0.9982,0.995,0.91761,0.94586,0.94435,0.94794,0.9068,0.4283,0.85369,0.48079,0.30936,0.96303,0.0006932,0.0006932,0.0006932
68,145.177,0.39615,0.991,0.49942,0.35524,0.97378,1,0.99821,0.995,0.90851,0.94585,0.94419,0.94645,0.91762,0.40701,0.82976,0.46978,0.34257,0.95886,0.0006734,0.0006734,0.0006734
69,147.195,0.86198,1.47794,0.52939,0.91897,1.39803,1,0.99812,0.995,0.90537,0.9427,0.91892,0.91957,0.90311,0.42331,0.80216,0.45176,0.39591,0.97437,0.0006536,0.0006536,0.0006536
70,149.201,0.44021,1.27098,0.50009,0.3645,0.98879,0.99804,0.97297,0.98845,0.90795,0.9426,0.91892,0.92059,0.89017,0.39946,0.86416,0.44675,0.51107,0.95488,0.0006338,0.0006338,0.0006338
71,151.2,0.40456,1.20871,0.51177,0.35081,0.96622,0.99811,0.97297,0.98304,0.90115,0.94262,0.91892,0.92972,0.87113,0.39984,0.99763,0.45115,0.51602,0.96692,0.000614,0.000614,0.000614
72,153.234,0.41598,0.8905,0.48552,0.33594,0.97883,0.99808,0.97297,0.98371,0.89875,0.9668,0.91892,0.92044,0.85669,0.45464,1.18216,0.45578,0.60677,0.99345,0.0005942,0.0005942,0.0005942
73,155.419,0.39104,0.94668,0.49171,0.33296,0.96435,0.9981,0.97297,0.98331,0.90237,0.9426,0.91892,0.92021,0.88923,0.43778,1.05267,0.45253,0.52238,0.98474,0.0005744,0.0005744,0.0005744
